# Time-averaged data for fix msd1_out
# TimeStep c_msd1[4]
111000 0.458941
112000 1.22016
113000 1.92713
114000 2.62847
115000 3.32764
116000 4.04363
117000 4.74066
118000 5.45177
119000 6.15372
120000 6.8732
121000 7.60238
122000 8.30914
123000 9.00285
124000 9.70865
125000 10.433
126000 11.1631
127000 11.8998
128000 12.6176
129000 13.3387
130000 14.0401
131000 14.75
132000 15.4446
133000 16.1767
134000 16.9067
135000 17.5931
136000 18.2875
137000 19.0093
138000 19.7373
139000 20.4983
140000 21.2412
141000 21.9605
142000 22.6788
143000 23.4128
144000 24.1169
145000 24.8424
146000 25.5371
147000 26.2518
148000 26.9781
149000 27.7349
150000 28.4417
151000 29.1196
152000 29.8275
153000 30.5124
154000 31.2042
155000 31.922
156000 32.6361
157000 33.3145
158000 34.0342
159000 34.7441
160000 35.4402
