# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00667654 0.0014
40 2.37 0.04893 0.0122
41 2.43 0.265471 0.0738
42 2.49 0.707602 0.2462
43 2.55 1.40105 0.6042
44 2.61 2.07182 1.1588
45 2.67 2.69369 1.9134
46 2.73 2.83746 2.7444
47 2.79 2.89916 3.6312
48 2.85 2.70883 4.4958
49 2.91 2.46485 5.316
50 2.97 2.2249 6.0872
51 3.03 1.97024 6.798
52 3.09 1.69351 7.4334
53 3.15 1.49009 8.0144
54 3.21 1.30797 8.544
55 3.27 1.12047 9.0148
56 3.33 0.972596 9.4386
57 3.39 0.916772 9.8526
58 3.45 0.815889 10.2342
59 3.51 0.791126 10.6172
60 3.57 0.677699 10.9566
61 3.63 0.665138 11.301
62 3.69 0.625368 11.6356
63 3.75 0.601535 11.968
64 3.81 0.596764 12.3084
65 3.87 0.578063 12.6486
66 3.93 0.56582 12.992
67 3.99 0.580902 13.3554
68 4.05 0.596089 13.7396
69 4.11 0.606231 14.142
70 4.17 0.631938 14.5738
71 4.23 0.644291 15.0268
72 4.29 0.677281 15.5166
73 4.35 0.700956 16.0378
74 4.41 0.756338 16.6158
75 4.47 0.795522 17.2404
76 4.53 0.829154 17.909
77 4.59 0.912467 18.6644
78 4.65 0.948155 19.47
79 4.71 1.02327 20.362
80 4.77 1.05987 21.3096
81 4.83 1.11923 22.3356
82 4.89 1.17771 23.4422
83 4.95 1.18506 24.5832
84 5.01 1.2189 25.7854
85 5.07 1.24348 27.0414
86 5.13 1.28013 28.3652
87 5.19 1.26847 29.7078
88 5.25 1.3124 31.1292
89 5.31 1.29771 32.567
90 5.37 1.29958 34.0396
91 5.43 1.25566 35.4944
92 5.49 1.20691 36.9238
93 5.55 1.20277 38.3796
94 5.61 1.17912 39.8378
95 5.67 1.13594 41.2728
96 5.73 1.08421 42.6716
97 5.79 1.04971 44.0544
98 5.85 0.987985 45.383
99 5.91 0.964092 46.7062
100 5.97 0.941669 48.025
101 6.03 0.922463 49.343
102 6.09 0.882007 50.6284
103 6.15 0.856403 51.9012
104 6.21 0.855508 53.1976
105 6.27 0.841544 54.4976
106 6.33 0.834812 55.812
107 6.39 0.836784 57.1546
108 6.45 0.84331 58.5332
109 6.51 0.80718 59.8774
110 6.57 0.834247 61.2924
111 6.63 0.848626 62.7582
112 6.69 0.844959 64.2442
113 6.75 0.874018 65.809
114 6.81 0.905767 67.4596
115 6.87 0.938328 69.1998
116 6.93 0.951401 70.9952
117 6.99 0.961181 72.8406
118 7.05 0.987491 74.7692
119 7.11 1.02617 76.8076
120 7.17 1.05045 78.9296
121 7.23 1.06902 81.1254
122 7.29 1.07965 83.38
123 7.35 1.08452 85.6822
124 7.41 1.10114 88.058
125 7.47 1.11089 90.4938
126 7.53 1.10825 92.963
127 7.59 1.12066 95.4998
128 7.65 1.11567 98.0654
129 7.71 1.0958 100.625
130 7.77 1.11073 103.26
131 7.83 1.10033 105.911
132 7.89 1.08137 108.556
133 7.95 1.06511 111.201
134 8.01 1.05326 113.857
135 8.07 1.04711 116.536
136 8.13 1.04126 119.241
137 8.19 1.00762 121.896
138 8.25 0.997879 124.565
139 8.31 0.993103 127.26
140 8.37 0.963441 129.912
141 8.43 0.974199 132.633
142 8.49 0.952922 135.332
143 8.55 0.948577 138.056
144 8.61 0.953391 140.834
145 8.67 0.936923 143.601
146 8.73 0.933839 146.398
147 8.79 0.925613 149.208
148 8.85 0.914795 152.023
149 8.91 0.932777 154.933
150 8.97 0.931094 157.877
151 9.03 0.941046 160.892
152 9.09 0.928787 163.908
