# Q(A^-1)  S(Q)
9.595391 1.038992
9.625251 1.039546
9.655110 1.039838
9.684970 1.039874
9.714830 1.039657
9.744689 1.039195
9.774549 1.038496
9.804409 1.037569
9.834269 1.036426
9.864128 1.035080
9.893988 1.033543
9.923848 1.031833
9.953707 1.029963
9.983567 1.027952
10.013427 1.025818
10.043287 1.023577
10.073146 1.021250
10.103006 1.018852
10.132866 1.016404
10.162725 1.013922
10.192585 1.011424
10.222445 1.008926
10.252305 1.006442
10.282164 1.003988
10.312024 1.001577
10.341884 0.999220
10.371743 0.996929
10.401603 0.994715
10.431463 0.992585
10.461323 0.990547
10.491182 0.988609
10.521042 0.986776
10.550902 0.985055
10.580762 0.983450
10.610621 0.981966
10.640481 0.980607
10.670341 0.979377
10.700200 0.978282
10.730060 0.977323
10.759920 0.976505
10.789780 0.975832
10.819639 0.975306
10.849499 0.974930
10.879359 0.974705
10.909218 0.974632
10.939078 0.974711
10.968938 0.974941
10.998798 0.975319
11.028657 0.975841
11.058517 0.976502
11.088377 0.977296
11.118236 0.978215
11.148096 0.979250
11.177956 0.980393
11.207816 0.981632
11.237675 0.982958
11.267535 0.984360
11.297395 0.985827
11.327255 0.987348
11.357114 0.988913
11.386974 0.990512
11.416834 0.992135
11.446693 0.993772
11.476553 0.995412
11.506413 0.997049
11.536273 0.998671
11.566132 1.000270
11.595992 1.001838
11.625852 1.003365
11.655711 1.004843
11.685571 1.006264
11.715431 1.007620
11.745291 1.008903
11.775150 1.010106
11.805010 1.011223
11.834870 1.012248
11.864729 1.013177
11.894589 1.014005
11.924449 1.014729
11.954309 1.015348
11.984168 1.015861
12.014028 1.016266
12.043888 1.016565
12.073747 1.016760
12.103607 1.016852
12.133467 1.016844
12.163327 1.016738
12.193186 1.016540
12.223046 1.016251
12.252906 1.015877
12.282766 1.015422
12.312625 1.014890
12.342485 1.014286
12.372345 1.013614
12.402204 1.012881
12.432064 1.012090
12.461924 1.011247
12.491784 1.010356
12.521643 1.009424
12.551503 1.008454
12.581363 1.007452
12.611222 1.006424
12.641082 1.005375
12.670942 1.004309
12.700802 1.003234
12.730661 1.002155
12.760521 1.001077
12.790381 1.000008
12.820240 0.998953
12.850100 0.997921
12.879960 0.996917
12.909820 0.995948
12.939679 0.995023
12.969539 0.994146
12.999399 0.993325
13.029259 0.992565
13.059118 0.991871
13.088978 0.991247
13.118838 0.990697
13.148697 0.990220
13.178557 0.989820
13.208417 0.989495
13.238277 0.989244
13.268136 0.989066
13.297996 0.988956
13.327856 0.988913
13.357715 0.988932
13.387575 0.989010
13.417435 0.989143
13.447295 0.989328
13.477154 0.989562
13.507014 0.989843
13.536874 0.990167
13.566733 0.990534
13.596593 0.990942
13.626453 0.991388
13.656313 0.991873
13.686172 0.992393
13.716032 0.992948
13.745892 0.993535
13.775752 0.994152
13.805611 0.994795
13.835471 0.995461
13.865331 0.996145
13.895190 0.996843
13.925050 0.997551
13.954910 0.998263
13.984770 0.998975
14.014629 0.999680
14.044489 1.000376
14.074349 1.001056
14.104208 1.001716
14.134068 1.002354
14.163928 1.002965
14.193788 1.003547
14.223647 1.004097
14.253507 1.004611
14.283367 1.005089
14.313226 1.005529
14.343086 1.005927
14.372946 1.006284
14.402806 1.006598
14.432665 1.006867
14.462525 1.007091
14.492385 1.007268
14.522244 1.007398
14.552104 1.007481
14.581964 1.007517
14.611824 1.007506
14.641683 1.007450
14.671543 1.007349
14.701403 1.007205
14.731263 1.007020
14.761122 1.006797
14.790982 1.006538
14.820842 1.006245
14.850701 1.005923
14.880561 1.005573
14.910421 1.005199
14.940281 1.004805
14.970140 1.004393
15.000000 1.003967
