# Time-averaged data for fix rdf2_out
# TimeStep Number-of-rows
# Row c_rdf2[1] c_rdf2[2] c_rdf2[3]
240000 100
26 2.04 0 0
27 2.12 0.00016089 3.7037e-05
28 2.2 0.00761957 0.00192593
29 2.28 0.0420789 0.0131296
30 2.36 0.160734 0.0589815
31 2.44 0.444181 0.194426
32 2.52 1.20613 0.586722
33 2.6 2.12148 1.32124
34 2.68 2.43233 2.216
35 2.76 2.57185 3.21941
36 2.84 2.44093 4.22774
37 2.92 2.13474 5.15996
38 3 1.81715 5.99757
39 3.08 1.55113 6.7512
40 3.16 1.35005 7.44165
41 3.24 1.18411 8.07828
42 3.32 1.05826 8.67569
43 3.4 0.945424 9.23543
44 3.48 0.890903 9.788
45 3.56 0.84518 10.3366
46 3.64 0.80631 10.8837
47 3.72 0.76798 11.428
48 3.8 0.732055 11.9694
49 3.88 0.738711 12.539
50 3.96 0.74403 13.1365
51 4.04 0.750723 13.7641
52 4.12 0.764371 14.4286
53 4.2 0.77257 15.1265
54 4.28 0.786932 15.8648
55 4.36 0.812473 16.6558
56 4.44 0.830616 17.4944
57 4.52 0.862393 18.3968
58 4.6 0.882299 19.3529
59 4.68 0.919074 20.3839
60 4.76 0.940482 21.4752
61 4.84 0.975745 22.6458
62 4.92 1.0155 23.9048
63 5 1.04236 25.2394
64 5.08 1.0757 26.6611
65 5.16 1.10375 28.1661
66 5.24 1.1274 29.7515
67 5.32 1.14015 31.4041
68 5.4 1.14249 33.1104
69 5.48 1.1498 34.8787
70 5.56 1.13431 36.6746
71 5.64 1.12127 38.5012
72 5.72 1.10246 40.3486
73 5.8 1.08431 42.2167
74 5.88 1.06734 44.1066
75 5.96 1.04747 46.0121
76 6.04 1.03479 47.9455
77 6.12 1.01417 49.8909
78 6.2 0.993547 51.8469
79 6.28 0.981213 53.8287
80 6.36 0.976369 55.8513
81 6.44 0.971879 57.9156
82 6.52 0.941881 59.9662
83 6.6 0.93378 62.0494
84 6.68 0.925899 64.1653
85 6.76 0.926317 66.3332
86 6.84 0.929809 68.5611
87 6.92 0.926996 70.8345
88 7 0.924672 73.155
89 7.08 0.93049 75.5437
90 7.16 0.94027 78.0124
91 7.24 0.951696 80.5672
92 7.32 0.963805 83.212
93 7.4 0.96794 85.9266
94 7.48 0.982762 88.7426
95 7.56 0.999217 91.6674
96 7.64 1.01279 94.695
97 7.72 1.02747 97.8311
98 7.8 1.04097 101.075
99 7.88 1.04202 104.388
100 7.96 1.05886 107.824
240300 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.000402226 9.25926e-05
28 2.2 0.00821719 0.00212963
29 2.28 0.0409661 0.013037
30 2.36 0.146388 0.0547963
31 2.44 0.455841 0.193796
32 2.52 1.19383 0.582093
33 2.6 2.11849 1.31557
34 2.68 2.44411 2.21467
35 2.76 2.59155 3.22576
36 2.84 2.44013 4.23376
37 2.92 2.13011 5.16396
38 3 1.79936 5.99337
