# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
107 6.39 0.772115 28.5484 0.763131 28.5396 0.750398 28.7068
108 6.45 0.756348 29.166 0.768594 29.1672 0.766324 29.3338
109 6.51 0.804984 29.8356 0.749202 29.7904 0.76882 29.9746
110 6.57 0.748328 30.4696 0.784683 30.4552 0.778401 30.6354
111 6.63 0.740409 31.1084 0.796971 31.1428 0.784041 31.3132
112 6.69 0.790481 31.8028 0.836015 31.8772 0.79049 32.009
113 6.75 0.834638 32.5492 0.843136 32.6312 0.848592 32.7694
114 6.81 0.858226 33.3304 0.879759 33.432 0.857387 33.5514
115 6.87 0.90073 34.1648 0.872232 34.24 0.906255 34.3926
116 6.93 0.933153 35.0444 0.926363 35.1132 0.935733 35.2764
117 6.99 0.939308 35.9452 0.920956 35.9964 1.00611 36.2432
118 7.05 1.00744 36.928 1.00211 36.974 1.0087 37.2292
119 7.11 1.03687 37.9568 1.02559 37.9916 1.05411 38.2772
120 7.17 1.07152 39.038 1.04853 39.0496 1.08006 39.3692
121 7.23 1.04407 40.1092 1.06356 40.1408 1.08478 40.4844
122 7.29 1.09483 41.2512 1.07297 41.26 1.1334 41.669
123 7.35 1.1155 42.434 1.12229 42.45 1.13285 42.8726
124 7.41 1.16172 43.686 1.13797 43.6764 1.15995 44.1252
125 7.47 1.14131 44.936 1.11246 44.8948 1.14012 45.3764
126 7.53 1.16021 46.2272 1.16668 46.1932 1.18587 46.6988
127 7.59 1.16034 47.5392 1.14194 47.4844 1.15378 48.006
128 7.65 1.12027 48.826 1.13594 48.7892 1.15817 49.339
129 7.71 1.1341 50.1492 1.1533 50.1348 1.1604 50.6956
130 7.77 1.1548 51.5176 1.13049 51.4744 1.12217 52.028
131 7.83 1.14581 52.8964 1.09894 52.7968 1.11897 53.3772
132 7.89 1.09047 54.2288 1.10226 54.1436 1.09744 54.7208
133 7.95 1.10342 55.5976 1.10148 55.51 1.08834 56.0736
134 8.01 1.09108 56.9716 1.09267 56.886 1.08953 57.4484
135 8.07 1.04519 58.3076 1.06647 58.2492 1.03701 58.7766
136 8.13 1.04986 59.6696 1.04277 59.602 1.01622 60.0976
137 8.19 1.02238 61.0156 1.0084 60.9296 1.02291 61.447
138 8.25 0.980015 62.3248 1.02643 62.3008 1.01137 62.8008
139 8.31 0.964144 63.6316 0.994836 63.6492 0.991963 64.148
140 8.37 0.952407 64.9412 0.967243 64.9792 0.957905 65.4678
141 8.43 0.958112 66.2776 0.948075 66.3016 0.951759 66.798
142 8.49 0.942921 67.6116 0.936701 67.6268 0.9495 68.144
143 8.55 0.941164 68.962 0.930012 68.9612 0.915911 69.4608
144 8.61 0.903625 70.2768 0.921219 70.3016 0.903738 70.7784
145 8.67 0.902277 71.608 0.923153 71.6636 0.899526 72.1082
146 8.73 0.904625 72.9612 0.915054 73.0324 0.902682 73.4612
147 8.79 0.903659 74.3316 0.901549 74.3996 0.895666 74.8222
148 8.85 0.891448 75.702 0.914606 75.8056 0.909011 76.2224
149 8.91 0.933134 77.156 0.909774 77.2232 0.888227 77.6092
150 8.97 0.910561 78.594 0.93361 78.6976 0.901662 79.036
151 9.03 0.897251 80.03 0.891753 80.1248 0.895706 80.4724
152 9.09 0.929101 81.5368 0.954752 81.6732 0.901151 81.9368
153 9.15 0.923528 83.0544 0.921338 83.1872 0.938565 83.4822
154 9.21 0.932437 84.6068 0.951177 84.7708 0.951792 85.07
155 9.27 0.950288 86.2096 0.950288 86.3736 0.956671 86.6868
156 9.33 0.974393 87.8744 0.987737 88.0612 0.968005 88.344
157 9.39 1.01768 89.6356 0.989947 89.7744 0.984738 90.0516
158 9.45 0.977873 91.3496 1.00183 91.5304 0.994593 91.7984
159 9.51 1.00027 93.1252 1.01898 93.3392 1.0238 93.6194
160 9.57 1.0167 94.9528 1.01247 95.1592 1.03088 95.4762
161 9.63 1.04363 96.8524 1.03132 97.0364 1.03408 97.3622
162 9.69 1.03639 98.7624 1.08348 99.0332 1.05955 99.3188
163 9.75 1.08584 100.788 1.04103 100.976 1.06634 101.312
164 9.81 1.06815 102.806 1.05629 102.971 1.05598 103.311
165 9.87 1.09119 104.892 1.06357 105.004 1.06666 105.355
166 9.93 1.07928 106.981 1.07597 107.087 1.08506 107.459
167 9.99 1.09065 109.118 1.07309 109.189 1.08236 109.583
168 10.05 1.0926 111.284 1.03167 111.234 1.08881 111.746
