# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3] c_myrdf[4] c_myrdf[5] c_myrdf[6] c_myrdf[7]
20000 200
1 0.03 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0
36 2.13 0 0 0 0 0 0
37 2.19 0 0 0.0169958 0.0016 0 0
38 2.25 0 0 0.229446 0.0244 0 0
39 2.31 0 0 0.633952 0.0908 0.0419249 0.0044
40 2.37 0.00725616 0.0008 1.40044 0.2452 0.153885 0.0214
41 2.43 0.0207068 0.0032 1.99476 0.4764 0.647516 0.0966
42 2.49 0.220217 0.03 2.50128 0.7808 1.31866 0.2574
43 2.55 0.604858 0.1072 2.63254 1.1168 1.92823 0.504
44 2.61 1.14277 0.26 2.76719 1.4868 2.42577 0.829
45 2.67 1.74661 0.5044 2.72998 1.8688 2.73736 1.2128
46 2.73 2.23396 0.8312 2.13006 2.1804 2.70841 1.6098
47 2.79 2.67823 1.2404 1.92947 2.4752 2.63106 2.0126
48 2.85 2.62185 1.6584 1.77633 2.7584 2.51269 2.414
49 2.91 2.62555 2.0948 1.56667 3.0188 2.14595 2.7714
50 2.97 2.3981 2.51 1.38387 3.2584 1.88605 3.0986
51 3.03 2.22859 2.9116 1.25414 3.4844 1.67364 3.4008
52 3.09 1.90384 3.2684 1.09706 3.69 1.51129 3.6846
53 3.15 1.71905 3.6032 0.981726 3.8812 1.29029 3.9364
54 3.21 1.60792 3.9284 0.965148 4.0764 1.25731 4.1912
55 3.27 1.29407 4.2 0.867162 4.2584 1.09653 4.4218
56 3.33 1.2644 4.4752 0.856411 4.4448 0.98217 4.636
57 3.39 1.16684 4.7384 0.773165 4.6192 0.923819 4.8448
58 3.45 1.0975 4.9948 0.70884 4.7848 0.83216 5.0396
59 3.51 0.924663 5.2184 0.669926 4.9468 0.759382 5.2236
60 3.57 0.786711 5.4152 0.647597 5.1088 0.725295 5.4054
61 3.63 0.788758 5.6192 0.682044 5.2852 0.757854 5.6018
62 3.69 0.725899 5.8132 0.631607 5.454 0.671421 5.7816
63 3.75 0.670974 5.9984 0.640541 5.6308 0.631306 5.9562
64 3.81 0.627546 6.1772 0.696337 5.8292 0.669024 6.1472
65 3.87 0.585106 6.3492 0.643617 6.0184 0.636897 6.3348
66 3.93 0.614878 6.5356 0.620156 6.2064 0.661713 6.5358
67 3.99 0.590125 6.72 0.679731 6.4188 0.647711 6.7386
68 4.05 0.546678 6.896 0.687075 6.64 0.660901 6.9518
69 4.11 0.589949 7.0916 0.685257 6.8672 0.688101 7.1804
70 4.17 0.612941 7.3008 0.735998 7.1184 0.676045 7.4116
71 4.23 0.620734 7.5188 0.782466 7.3932 0.725204 7.6668
72 4.29 0.706473 7.774 0.801703 7.6828 0.756448 7.9406
73 4.35 0.683888 8.028 0.851898 7.9992 0.783555 8.2322
74 4.41 0.742949 8.3116 0.865551 8.3296 0.860683 8.5614
75 4.47 0.755776 8.608 0.927127 8.6932 0.91662 8.9216
76 4.53 0.740854 8.9064 1.00601 9.0984 0.890518 9.281
77 4.59 0.846395 9.2564 1.05824 9.536 0.929655 9.6662
78 4.65 0.895382 9.6364 1.11122 10.0076 1.03845 10.1078
79 4.71 0.91681 10.0356 1.10513 10.4888 1.00391 10.5458
80 4.77 1.01481 10.4888 1.14916 11.002 1.10932 11.0422
81 4.83 1.05876 10.9736 1.17146 11.5384 1.1495 11.5696
82 4.89 1.08578 11.4832 1.16249 12.084 1.14358 12.1074
83 4.95 1.13947 12.0312 1.19353 12.658 1.1733 12.6728
84 5.01 1.09204 12.5692 1.27716 13.2872 1.22031 13.2752
85 5.07 1.10837 13.1284 1.17338 13.8792 1.19358 13.8786
86 5.13 1.21656 13.7568 1.2305 14.5148 1.21992 14.51
87 5.19 1.22491 14.4044 1.19692 15.1476 1.22246 15.1576
88 5.25 1.16232 15.0332 1.19559 15.7944 1.24522 15.8326
89 5.31 1.24534 15.7224 1.14704 16.4292 1.21472 16.5062
90 5.37 1.25371 16.432 1.13922 17.074 1.21841 17.1972
91 5.43 1.23445 17.1464 1.13008 17.728 1.21819 17.9036
92 5.49 1.20288 17.858 1.10146 18.3796 1.22342 18.6288
93 5.55 1.20944 18.5892 1.05131 19.0152 1.16146 19.3324
94 5.61 1.13773 19.292 1.02052 19.6456 1.1067 20.0174
95 5.67 1.13279 20.0068 0.99587 20.274 1.10079 20.7134
96 5.73 1.08995 20.7092 0.967675 20.8976 1.03884 21.3842
97 5.79 1.15198 21.4672 0.91976 21.5028 1.01135 22.051
98 5.85 0.998652 22.138 0.909923 22.114 0.980014 22.7106
99 5.91 0.976728 22.8076 0.941136 22.7592 0.957305 23.3682
100 5.97 1.02409 23.524 0.887434 23.38 0.939301 24.0266
101 6.03 0.974671 24.2196 0.901809 24.0236 0.9221 24.686
102 6.09 0.96655 24.9232 0.892919 24.6736 0.913891 25.3526
103 6.15 0.931618 25.6148 0.897134 25.3396 0.895877 26.019
104 6.21 0.936955 26.324 0.873012 26.0004 0.839094 26.6554
105 6.27 0.883858 27.006 0.870899 26.6724 0.862431 27.3222
106 6.33 0.89363 27.7088 0.892104 27.374 0.855296 27.9962
107 6.39 0.844985 28.386 0.895893 28.092 0.879407 28.7024
108 6.45 0.89204 29.1144 0.913104 28.8376 0.8883 29.4292
109 6.51 0.855476 29.826 0.900678 29.5868 0.870322 30.1546
110 6.57 0.897994 30.5868 0.925378 30.3708 0.897847 30.9168
111 6.63 0.901287 31.3644 0.945795 31.1868 0.89185 31.6878
112 6.69 0.850586 32.1116 0.965789 32.0352 0.89501 32.4756
113 6.75 0.8986 32.9152 0.950932 32.8856 0.939656 33.3176
114 6.81 0.90261 33.7368 0.993574 33.79 0.942468 34.1772
115 6.87 0.907639 34.5776 0.985363 34.7028 0.962061 35.0702
116 6.93 0.955644 35.4784 1.0002 35.6456 0.979142 35.995
117 6.99 0.963083 36.402 1.02523 36.6288 0.974477 36.9314
118 7.05 0.986943 37.3648 1.071 37.6736 1.0042 37.913
119 7.11 1.00986 38.3668 1.05945 38.7248 1.02213 38.9292
120 7.17 1.00651 39.3824 1.07945 39.814 1.03358 39.9742
121 7.23 1.00196 40.4104 1.09046 40.9328 1.05832 41.0622
122 7.29 1.05111 41.5068 1.04958 42.0276 1.07293 42.1836
123 7.35 1.02949 42.5984 1.04345 43.134 1.06245 43.3124
124 7.41 1.0526 43.7328 1.09566 44.3148 1.05976 44.4568
125 7.47 1.09237 44.9292 1.09639 45.5156 1.07633 45.638
126 7.53 1.08545 46.1372 1.0797 46.7172 1.0736 46.8352
127 7.59 1.06588 47.3424 1.03971 47.8928 1.06658 48.0436
128 7.65 1.0757 48.578 1.06072 49.1112 1.06486 49.2692
129 7.71 1.09844 49.8596 1.04222 50.3272 1.0776 50.529
130 7.77 1.09032 51.1516 1.04205 51.562 1.06827 51.7974
131 7.83 1.07334 52.4432 1.06636 52.8452 1.042 53.0538
132 7.89 1.07443 53.756 1.02664 54.0996 1.07032 54.3642
133 7.95 1.04441 55.0516 1.05215 55.4048 1.03106 55.6458
