# Time-averaged data for fix rdfout
# TimeStep Number-of-rows
# Row c_myrdf[1] c_myrdf[2] c_myrdf[3]
51000 200
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 0.00763033 0.0016
40 2.37 0.0598034 0.0148
41 2.43 0.244785 0.0716
42 2.49 0.744542 0.253
43 2.55 1.41905 0.6156
44 2.61 2.09722 1.177
45 2.67 2.62801 1.9132
46 2.73 2.9037 2.7636
47 2.79 2.8717 3.642
48 2.85 2.68188 4.498
49 2.91 2.4937 5.3278
50 2.97 2.24625 6.1064
51 3.03 1.97191 6.8178
52 3.09 1.67166 7.445
53 3.15 1.44034 8.0066
54 3.21 1.29216 8.5298
55 3.27 1.12999 9.0046
56 3.33 1.01528 9.447
57 3.39 0.893742 9.8506
58 3.45 0.823586 10.2358
59 3.51 0.743617 10.5958
60 3.57 0.699663 10.9462
61 3.63 0.661275 11.2886
62 3.69 0.629106 11.6252
63 3.75 0.600087 11.9568
64 3.81 0.577479 12.2862
65 3.87 0.581462 12.6284
66 3.93 0.571422 12.9752
67 3.99 0.583459 13.3402
68 4.05 0.560404 13.7014
69 4.11 0.595987 14.097
70 4.17 0.629011 14.5268
71 4.23 0.633766 14.9724
72 4.29 0.65405 15.4454
73 4.35 0.72893 15.9874
74 4.41 0.768376 16.5746
75 4.47 0.834241 17.2296
76 4.53 0.851973 17.9166
77 4.59 0.916574 18.6754
78 4.65 0.987936 19.5148
79 4.71 1.03956 20.421
80 4.77 1.08739 21.3932
81 4.83 1.12098 22.4208
82 4.89 1.15558 23.5066
83 4.95 1.19379 24.656
84 5.01 1.22356 25.8628
85 5.07 1.25378 27.1292
86 5.13 1.25054 28.4224
87 5.19 1.24768 29.743
88 5.25 1.29134 31.1416
89 5.31 1.3006 32.5826
90 5.37 1.26781 34.0192
91 5.43 1.27188 35.4928
92 5.49 1.226 36.9448
93 5.55 1.20707 38.4058
94 5.61 1.15098 39.8292
95 5.67 1.11551 41.2384
96 5.73 1.08902 42.6434
97 5.79 1.02208 43.9898
98 5.85 1.00539 45.3418
99 5.91 0.96861 46.6712
100 5.97 0.941812 47.9902
101 6.03 0.920083 49.3048
102 6.09 0.884065 50.5932
103 6.15 0.834334 51.8332
104 6.21 0.850361 53.1218
105 6.27 0.841155 54.4212
106 6.33 0.830874 55.7294
107 6.39 0.824818 57.0528
108 6.45 0.823369 58.3988
109 6.51 0.848134 59.8112
110 6.57 0.835308 61.228
111 6.63 0.856384 62.7072
112 6.69 0.850076 64.2022
113 6.75 0.894796 65.8042
114 6.81 0.935729 67.5094
115 6.87 0.936387 69.246
116 6.93 0.938578 71.0172
117 6.99 0.987849 72.9138
118 7.05 0.99896 74.8648
119 7.11 0.993649 76.8386
120 7.17 1.04322 78.946
121 7.23 1.08294 81.1704
122 7.29 1.09402 83.455
123 7.35 1.09846 85.7868
124 7.41 1.09456 88.1484
125 7.47 1.11818 90.6002
126 7.53 1.11435 93.083
127 7.59 1.10343 95.5808
128 7.65 1.10306 98.1174
129 7.71 1.09872 100.684
130 7.77 1.09522 103.282
131 7.83 1.08505 105.896
132 7.89 1.08186 108.542
133 7.95 1.06471 111.187
134 8.01 1.05326 113.842
135 8.07 1.03523 116.491
136 8.13 1.03826 119.188
137 8.19 1.01217 121.856
138 8.25 0.999973 124.53
139 8.31 0.982784 127.197
140 8.37 0.966347 129.857
141 8.43 0.963169 132.547
142 8.49 0.962879 135.274
143 8.55 0.930335 137.946
144 8.61 0.953253 140.723
