# Step Temp Press PE KE TotEng Vol Density
240000 599.95496742649856969 -76.223270847437277098 -296018.71607367601246 8375.3511867000215716 -287643.3648869759636 2120005.4597291746177 5.8980968672924563023
240001 600.05233004084141157 -60.678104831355206272 -296019.92711976129794 8376.7103655248502037 -287643.21675423643319 2120005.4597291746177 5.8980968672924563023
240002 600.1451699308180423 -7.1954966013207801723 -296021.10640827496536 8378.0064072694895003 -287643.10000100545585 2120005.4597291746177 5.8980968672924563023
240003 600.23533498613221582 -111.87030170294680431 -296022.19572641002014 8379.2651084121171152 -287642.93061799788848 2120005.4597291746177 5.8980968672924563023
240004 600.32156918978307658 -68.64519922546816133 -296023.29540044721216 8380.4689349975997175 -287642.82646544958698 2120005.4597291746177 5.8980968672924563023
240005 600.40743249295758233 -96.82854971553319956 -296024.38387049827725 8381.6675838248975197 -287642.71628667338518 2120005.4597291746177 5.8980968672924563023
240006 600.49094690574725064 -132.95497720803470543 -296025.42311362829059 8382.8334422213447397 -287642.58967140695313 2120005.4597291746177 5.8980968672924563023
240007 600.56859038970264919 -82.223777156938027133 -296026.43430143664591 8383.9173426485303935 -287642.51695878809551 2120005.4597291746177 5.8980968672924563023
240008 600.6462743358536045 -101.86700784138363929 -296027.43525862402748 8385.0018079266046698 -287642.43345069739735 2120005.4597291746177 5.8980968672924563023
240009 600.73033177918262027 -206.58669146083141754 -296028.38620705768699 8386.1752470111350704 -287642.21096004656283 2120005.4597291746177 5.8980968672924563023
240010 600.80414997705918267 -94.957753469149537295 -296029.28555979399243 8387.2057465731904813 -287642.07981322082924 2120005.4597291746177 5.8980968672924563023
240011 600.86758177096135114 -17.586662978509163935 -296030.13401754200459 8388.091252284746588 -287642.04276525723981 2120005.4597291746177 5.8980968672924563023
240012 600.93371963728884566 -59.33549794746502215 -296030.98562439280795 8389.0145346764365968 -287641.97108971636044 2120005.4597291746177 5.8980968672924563023
240013 601.00183999568389481 -158.23073221440003522 -296031.81663440092234 8389.9654925907780125 -287641.85114181012614 2120005.4597291746177 5.8980968672924563023
