# Time-averaged data for fix rdf1_out
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
110000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 7.20678e-05 1.85185e-05
29 2.28 0.000805195 0.000240741
30 2.36 0.00795376 0.00259259
31 2.44 0.0836064 0.0290185
32 2.52 0.614044 0.236037
33 2.6 2.0104 0.957537
34 2.68 2.82164 2.03344
35 2.76 3.28541 3.36209
36 2.84 3.10081 4.68983
37 2.92 2.54766 5.84304
38 3 1.95866 6.77887
39 3.08 1.55495 7.56196
40 3.16 1.26664 8.23343
41 3.24 1.07886 8.83467
42 3.32 0.902234 9.36261
43 3.4 0.779195 9.8408
44 3.48 0.74024 10.3167
45 3.56 0.724577 10.8042
46 3.64 0.706321 11.301
47 3.72 0.676396 11.7979
48 3.8 0.658725 12.3029
49 3.88 0.678185 12.8449
50 3.96 0.713369 13.4388
51 4.04 0.73152 14.0726
52 4.12 0.751785 14.75
53 4.2 0.77001 15.4711
54 4.28 0.797709 16.2469
55 4.36 0.810103 17.0644
56 4.44 0.839604 17.943
57 4.52 0.871717 18.8885
58 4.6 0.895223 19.8941
59 4.68 0.934146 20.9802
60 4.76 0.961901 22.1372
61 4.84 0.978137 23.3536
62 4.92 1.00855 24.6496
63 5 1.03598 26.0245
64 5.08 1.07043 27.491
65 5.16 1.11033 29.0604
66 5.24 1.15436 30.743
67 5.32 1.18844 32.5286
68 5.4 1.20131 34.3882
69 5.48 1.21257 36.3213
70 5.56 1.18973 38.2737
71 5.64 1.16796 40.246
72 5.72 1.12574 42.2012
73 5.8 1.09121 44.1499
74 5.88 1.06252 46.1001
75 5.96 1.0368 48.0552
76 6.04 1.0107 50.0126
77 6.12 0.988283 51.9776
78 6.2 0.981747 53.9809
79 6.28 0.975257 56.0227
80 6.36 0.971049 58.1079
81 6.44 0.965343 60.2332
82 6.52 0.926987 62.3251
83 6.6 0.91181 64.4336
84 6.68 0.91468 66.6003
85 6.76 0.907595 68.8021
86 6.84 0.902125 71.0426
87 6.92 0.902957 73.338
88 7 0.903182 75.6874
89 7.08 0.905936 78.098
90 7.16 0.912029 80.5801
91 7.24 0.924329 83.1521
92 7.32 0.935154 85.8121
93 7.4 0.954846 88.5879
94 7.48 0.973268 91.4786
95 7.56 0.992312 94.4893
96 7.64 1.01417 97.6318
97 7.72 1.03582 100.909
98 7.8 1.06305 104.342
99 7.88 1.08217 107.909
100 7.96 1.09875 111.605
110100 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000872295 0.000240741
30 2.36 0.00814164 0.00264815
31 2.44 0.0857742 0.0297593
32 2.52 0.619976 0.238778
33 2.6 2.01959 0.963574
34 2.68 2.80401 2.03276
35 2.76 3.27066 3.35544
36 2.84 3.10384 4.68448
37 2.92 2.5576 5.84219
38 3 1.96579 6.78143
39 3.08 1.54877 7.56141
40 3.16 1.27743 8.23859
41 3.24 1.05556 8.82685
42 3.32 0.910019 9.35935
43 3.4 0.788459 9.84322
44 3.48 0.734451 10.3154
45 3.56 0.727246 10.8047
46 3.64 0.702767 11.299
47 3.72 0.683529 11.8012
48 3.8 0.660609 12.3076
49 3.88 0.674547 12.8467
50 3.96 0.710188 13.4379
51 4.04 0.735752 14.0754
52 4.12 0.751682 14.7527
53 4.2 0.777386 15.4807
54 4.28 0.785769 16.2449
55 4.36 0.81014 17.0624
56 4.44 0.840205 17.9417
57 4.52 0.870386 18.8857
58 4.6 0.903483 19.9006
59 4.68 0.927106 20.9786
60 4.76 0.961423 22.135
61 4.84 0.97979 23.3534
62 4.92 1.00603 24.6462
63 5 1.03509 26.0199
64 5.08 1.07254 27.4892
65 5.16 1.1169 29.0679
66 5.24 1.14883 30.7425
67 5.32 1.18 32.5154
68 5.4 1.20766 34.3848
69 5.48 1.21569 36.3229
70 5.56 1.19542 38.2846
71 5.64 1.16495 40.2518
72 5.72 1.12598 42.2075
73 5.8 1.09081 44.1555
74 5.88 1.06206 46.1048
75 5.96 1.03381 48.0543
76 6.04 1.01004 50.0104
