# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
26 2.04 0 0
27 2.12 0.00975637 0.00214815
28 2.2 0.0625595 0.0169815
29 2.28 0.179612 0.0627222
30 2.36 0.402343 0.1725
31 2.44 0.76371 0.395241
32 2.52 1.36841 0.820944
33 2.6 1.93665 1.46228
34 2.68 2.10182 2.2018
35 2.76 2.14571 3.0025
36 2.84 2.05573 3.81474
37 2.92 1.86887 4.59533
38 3 1.69207 5.34133
39 3.08 1.50968 6.04289
40 3.16 1.36266 6.70944
41 3.24 1.25623 7.35544
42 3.32 1.12995 7.96556
43 3.4 1.0344 8.55131
44 3.48 0.972969 9.12852
45 3.56 0.928242 9.7048
46 3.64 0.894909 10.2856
47 3.72 0.851069 10.8626
48 3.8 0.809513 11.4352
49 3.88 0.811909 12.0339
50 3.96 0.79583 12.6452
51 4.04 0.798094 13.2833
52 4.12 0.801544 13.9498
53 4.2 0.813156 14.6525
54 4.28 0.812636 15.3817
55 4.36 0.83036 16.1549
56 4.44 0.845294 16.9712
57 4.52 0.86508 17.8369
58 4.6 0.87965 18.7487
59 4.68 0.90871 19.7236
60 4.76 0.944245 20.7716
61 4.84 0.967933 21.8824
62 4.92 0.995746 23.0631
63 5 1.0188 24.3107
64 5.08 1.04438 25.6309
65 5.16 1.05683 27.0093
66 5.24 1.08101 28.4633
67 5.32 1.09759 29.9849
68 5.4 1.09245 31.5454
69 5.48 1.09535 33.1567
70 5.56 1.08832 34.8047
71 5.64 1.0914 36.5053
72 5.72 1.08465 38.2437
73 5.8 1.07257 40.0111
74 5.88 1.06632 41.817
75 5.96 1.04961 43.6434
76 6.04 1.03842 45.4991
77 6.12 1.03297 47.3942
78 6.2 1.01302 49.3017
79 6.28 1.00533 51.2439
80 6.36 0.998788 53.2229
81 6.44 0.98956 55.2332
82 6.52 0.970415 57.254
83 6.6 0.96452 59.312
84 6.68 0.958094 61.4062
85 6.76 0.951643 63.5364
86 6.84 0.943872 65.6996
87 6.92 0.948787 67.9251
88 7 0.947069 70.1983
89 7.08 0.943186 72.5142
90 7.16 0.949122 74.8977
91 7.24 0.959557 77.3615
92 7.32 0.96486 79.8939
93 7.4 0.972168 82.5016
94 7.48 0.985268 85.202
95 7.56 0.988664 87.9699
96 7.64 0.996766 90.8198
97 7.72 1.01197 93.7741
98 7.8 1.01617 96.8025
99 7.88 1.02641 99.9245
100 7.96 1.03236 103.129
370300 100
