# Step Temp Press PE KE TotEng Vol Density
370000 1001.5408681991040112 -203.69981329775663426 -290133.52762286824873 13981.476868141096929 -276152.05075472715544 2216496.7288655559532 5.6413336405289111752
370001 1001.6059252109831732 -149.09500876061377994 -290134.18186891381629 13982.385061841005154 -276151.79680707282387 2216496.7288655559532 5.6413336405289111752
370002 1001.6677486989073032 -85.740721939302162014 -290134.87361591460649 13983.248115655147558 -276151.62550025945529 2216496.7288655559532 5.6413336405289111752
370003 1001.732127131660036 -189.00639277860705079 -290135.61191204667557 13984.146836413252458 -276151.46507563343039 2216496.7288655559532 5.6413336405289111752
370004 1001.7985137062588592 -140.69568930059867284 -290136.4209082708694 13985.073590764051914 -276151.34731750679202 2216496.7288655559532 5.6413336405289111752
370005 1001.8589234678129287 -205.13304655451341318 -290137.24061618291307 13985.916909005571142 -276151.32370717736194 2216496.7288655559532 5.6413336405289111752
370006 1001.9236419790988748 -240.30222398965145203 -290138.01620758301578 13986.820377248570367 -276151.1958303344436 2216496.7288655559532 5.6413336405289111752
370007 1001.9855430274666332 -220.73588522838150539 -290138.71138156746747 13987.6845138039007 -276151.02686776354676 2216496.7288655559532 5.6413336405289111752
370008 1002.0381553819568126 -194.29716340063879443 -290139.35119675553869 13988.418980504800857 -276150.93221625074511 2216496.7288655559532 5.6413336405289111752
370009 1002.0876801068690156 -176.86961004749582571 -290139.91608785744756 13989.110344000537225 -276150.80574385693762 2216496.7288655559532 5.6413336405289111752
370010 1002.1348826743690097 -170.11287411517855617 -290140.4052542669815 13989.769290256825116 -276150.63596401014365 2216496.7288655559532 5.6413336405289111752
370011 1002.1742149949525356 -154.68208339378571736 -290140.75935470242985 13990.318368130598174 -276150.44098657183349 2216496.7288655559532 5.6413336405289111752
370012 1002.2047733995923409 -171.38962821518373403 -290141.10491556342458 13990.744962432603643 -276150.35995313082822 2216496.7288655559532 5.6413336405289111752
370013 1002.2352406364427679 -159.92160851641421004 -290141.54762343369657 13991.170284035331861 -276150.37733939837199 2216496.7288655559532 5.6413336405289111752
370014 1002.2566863790945035 -208.02867470226783553 -290141.91363409208134 13991.469665882170375 -276150.44396820990369 2216496.7288655559532 5.6413336405289111752
370015 1002.2759497769134214 -182.92076319420610275 -290142.28934705187567 13991.738582268470054 -276150.55076478340197 2216496.7288655559532 5.6413336405289111752
370016 1002.3103087582758235 -210.70278050743831955 -290142.66233533417108 13992.218232493822143 -276150.44410284032347 2216496.7288655559532 5.6413336405289111752
370017 1002.3420696158426608 -191.67348785502275632 -290143.1481346518849 13992.661612998284909 -276150.48652165359817 2216496.7288655559532 5.6413336405289111752
370018 1002.3761283749753375 -271.87926667271864289 -290143.62537151563447 13993.137072131397872 -276150.48829938424751 2216496.7288655559532 5.6413336405289111752
370019 1002.4215872804945775 -188.56729319829094038 -290144.1356422745157 13993.771676925020074 -276150.36396534950472 2216496.7288655559532 5.6413336405289111752
370020 1002.4628199784190201 -181.16028668453728301 -290144.6847518060822 13994.347284002620654 -276150.33746780344518 2216496.7288655559532 5.6413336405289111752
370021 1002.4939634442386023 -182.48061960096052303 -290145.18063672701828 13994.78204573903713 -276150.39859098795569 2216496.7288655559532 5.6413336405289111752
370022 1002.537904268626562 -226.93893298893061683 -290145.75698440574342 13995.395458171075006 -276150.3615262346575 2216496.7288655559532 5.6413336405289111752
370023 1002.5923771158768432 -174.90591931219464072 -290146.50968022248708 13996.155897288394044 -276150.35378293407848 2216496.7288655559532 5.6413336405289111752
370024 1002.6536152531298285 -234.35080392286306505 -290147.37143385515083 13997.010779626834847 -276150.3606542283087 2216496.7288655559532 5.6413336405289111752
370025 1002.7192136774286837 -157.82954994418054184 -290148.20698431716301 13997.926531425930079 -276150.28045289125293 2216496.7288655559532 5.6413336405289111752
370026 1002.785168689909483 -152.83771902002044385 -290149.11570692481473 13998.847261184064337 -276150.26844574074494 2216496.7288655559532 5.6413336405289111752
370027 1002.8548442496564803 -127.61146704576977129 -290150.00006904022302 13999.819929657023749 -276150.18013938318472 2216496.7288655559532 5.6413336405289111752
370028 1002.9044810995424086 -217.72729235628426636 -290150.8305672708666 14000.512858413625509 -276150.31770885724109 2216496.7288655559532 5.6413336405289111752
370029 1002.9392924573861592 -221.71323919026346516 -290151.51064949238207 14000.998823799458478 -276150.51182569289813 2216496.7288655559532 5.6413336405289111752
370030 1002.9628676207024682 -101.66088135105258061 -290152.00617542705731 14001.327932287225849 -276150.67824313981691 2216496.7288655559532 5.6413336405289111752
370031 1002.9838423648427579 -157.88011504753254144 -290152.26941669749795 14001.620739010668331 -276150.64867768681142 2216496.7288655559532 5.6413336405289111752
370032 1002.9978894795862061 -247.75431512733962336 -290152.45632420404581 14001.816836260502896 -276150.63948794355383 2216496.7288655559532 5.6413336405289111752
370033 1002.993160611525127 -188.87685796794224302 -290152.45318913366646 14001.750821421261207 -276150.70236771239433 2216496.7288655559532 5.6413336405289111752
370034 1002.9850244163257003 -212.31158007101177532 -290152.45445977180498 14001.637240409654623 -276150.81721936212853 2216496.7288655559532 5.6413336405289111752
370035 1002.9802522788581882 -184.82814565480975944 -290152.42584018612979 14001.57062153095103 -276150.85521865519695 2216496.7288655559532 5.6413336405289111752
370036 1002.9567492755761577 -179.75465911366262617 -290152.28865767107345 14001.242520394838721 -276151.046137276222 2216496.7288655559532 5.6413336405289111752
370037 1002.929063702154167 -132.75809199917992487 -290152.07022591552231 14000.85603072010781 -276151.21419519541087 2216496.7288655559532 5.6413336405289111752
370038 1002.8916539258541434 -229.30620030878102966 -290151.79075384768657 14000.333791499933795 -276151.45696234772913 2216496.7288655559532 5.6413336405289111752
370039 1002.8430039198742634 -122.3609626849476939 -290151.4926600404433 13999.654639051101185 -276151.8380209893221 2216496.7288655559532 5.6413336405289111752
370040 1002.8036365989772776 -176.48665279094288394 -290151.2454232389573 13999.105072574126098 -276152.14035066484939 2216496.7288655559532 5.6413336405289111752
370041 1002.7616022246826333 -185.3738407014274685 -290150.95325428526849 13998.518274121333889 -276152.43498016393278 2216496.7288655559532 5.6413336405289111752
370042 1002.7330842293621345 -218.58928110979690018 -290150.68702233518707 13998.120163864869028 -276152.5668584703235 2216496.7288655559532 5.6413336405289111752
370043 1002.6939384650393094 -183.89209552650348201 -290150.34320402669255 13997.573690310226084 -276152.76951371645555 2216496.7288655559532 5.6413336405289111752
370044 1002.6436496259801743 -165.79464620602385594 -290150.00843140331563 13996.871659806673051 -276153.13677159661893 2216496.7288655559532 5.6413336405289111752
370045 1002.5960627522576942 -190.44285023636217602 -290149.63577610388165 13996.207348648433253 -276153.42842745542293 2216496.7288655559532 5.6413336405289111752
370046 1002.5480338119403996 -148.96810665848144595 -290149.1938966132002 13995.536866255382847 -276153.65703035780462 2216496.7288655559532 5.6413336405289111752
370047 1002.4907411291536619 -318.77078871134642668 -290148.56662593537476 13994.737062328722459 -276153.82956360664684 2216496.7288655559532 5.6413336405289111752
370048 1002.4060277293394847 -210.19158685562376832 -290147.79800851817708 13993.554466113699164 -276154.24354240449611 2216496.7288655559532 5.6413336405289111752
370049 1002.306938476208984 -122.71299809086497135 -290146.84257821796928 13992.171183469410607 -276154.67139474855503 2216496.7288655559532 5.6413336405289111752
370050 1002.2016651551057294 -177.29492485241590316 -290145.69317927572411 13990.701571444007641 -276154.99160783173284 2216496.7288655559532 5.6413336405289111752
370051 1002.0848809159904249 -214.99921922059698431 -290144.34209747600835 13989.071267389925197 -276155.27083008608315 2216496.7288655559532 5.6413336405289111752
370052 1001.9574832129222841 -241.13932029588949035 -290142.94502254459076 13987.292799735676454 -276155.65222280891612 2216496.7288655559532 5.6413336405289111752
370053 1001.8401725934769502 -237.230390433513179 -290141.50507787865354 13985.655147429872159 -276155.84993044880684 2216496.7288655559532 5.6413336405289111752
370054 1001.7245740221557071 -185.33569240708348502 -290140.01976667752024 13984.041395258356715 -276155.97837141918717 2216496.7288655559532 5.6413336405289111752
370055 1001.5888221209156654 -246.24328729833143825 -290138.45243849244434 13982.14630327832856 -276156.30613521410851 2216496.7288655559532 5.6413336405289111752
370056 1001.4433961898016605 -187.52948830533722457 -290136.58198278682539 13980.11616216631046 -276156.46582062053494 2216496.7288655559532 5.6413336405289111752
370057 1001.2886122972904559 -183.13384233971825665 -290134.57621822005603 13977.955384227614559 -276156.6208339924342 2216496.7288655559532 5.6413336405289111752
370058 1001.1214390056030652 -199.43231483599979015 -290132.46162142883986 13975.62165069270668 -276156.83997073612409 2216496.7288655559532 5.6413336405289111752
370059 1000.9434785375754018 -169.64238179819747643 -290130.28066233952995 13973.137328538537986 -276157.14333380101016 2216496.7288655559532 5.6413336405289111752
370060 1000.7530656093838388 -181.5859962535490979 -290128.09934284887277 13970.479170458884255 -276157.6201723900158 2216496.7288655559532 5.6413336405289111752
370061 1000.563578213535493 -203.13885411588321972 -290125.79111621051561 13967.833932779645693 -276157.95718343084445 2216496.7288655559532 5.6413336405289111752
370062 1000.3795222191716903 -146.26181527092259671 -290123.4799702973105 13965.264517282636007 -276158.21545301465085 2216496.7288655559532 5.6413336405289111752
370063 1000.1975351261677361 -185.76559936753179159 -290121.365425198921 13962.723983579093328 -276158.64144161983859 2216496.7288655559532 5.6413336405289111752
370064 1000.0316790125390298 -142.69006375336897463 -290119.40085617842851 13960.408637805625403 -276158.99221837281948 2216496.7288655559532 5.6413336405289111752
