# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
110000 100
66 5.24 1.15242 30.6974
67 5.32 1.18847 32.4818
68 5.4 1.21243 34.3573
69 5.48 1.20928 36.2838
70 5.56 1.1952 38.2439
71 5.64 1.16954 40.2175
72 5.72 1.13227 42.1828
73 5.8 1.09042 44.1287
74 5.88 1.06395 46.0802
75 5.96 1.03161 48.0242
76 6.04 1.00754 49.9741
77 6.12 0.991818 51.9448
78 6.2 0.985105 53.9536
79 6.28 0.975878 55.9954
80 6.36 0.969061 58.0748
81 6.44 0.960277 60.1876
82 6.52 0.930419 62.2858
83 6.6 0.911759 64.3927
84 6.68 0.914608 66.5578
85 6.76 0.907113 68.7569
86 6.84 0.90547 71.0042
87 6.92 0.905388 73.3042
88 7 0.899338 75.6419
89 7.08 0.905237 78.0491
90 7.16 0.910036 80.5241
91 7.24 0.917141 83.0744
92 7.32 0.936997 85.7378
93 7.4 0.958844 88.5232
94 7.48 0.974599 91.416
95 7.56 0.996177 94.4364
96 7.64 1.00948 97.5622
97 7.72 1.03536 100.836
98 7.8 1.05806 104.251
99 7.88 1.08496 107.825
100 7.96 1.09929 111.52
160000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.00114147 0.000314815
30 2.36 0.0105287 0.00342593
31 2.44 0.0871225 0.0309444
32 2.52 0.615617 0.238352
33 2.6 2.00893 0.958833
34 2.68 2.79561 2.02409
35 2.76 3.27491 3.34759
36 2.84 3.10925 4.67804
37 2.92 2.54215 5.82796
38 3 1.95518 6.7615
39 3.08 1.56495 7.54909
40 3.16 1.27883 8.22656
41 3.24 1.06752 8.82107
42 3.32 0.904337 9.34989
43 3.4 0.785041 9.83133
44 3.48 0.74625 10.3108
45 3.56 0.729808 10.8015
46 3.64 0.706091 11.2978
47 3.72 0.682305 11.7987
48 3.8 0.658884 12.3034
49 3.88 0.675517 12.8429
50 3.96 0.713878 13.4368
51 4.04 0.739354 14.077
52 4.12 0.75896 14.7604
53 4.2 0.762995 15.4745
54 4.28 0.789392 16.2416
55 4.36 0.81532 17.0638
56 4.44 0.841256 17.9436
57 4.52 0.86558 18.8818
58 4.6 0.894547 19.8859
59 4.68 0.92412 20.9597
60 4.76 0.9557 22.1084
61 4.84 0.982887 23.3299
62 4.92 1.00085 24.6151
63 5 1.03909 25.9932
64 5.08 1.06572 27.4522
65 5.16 1.11443 29.0263
66 5.24 1.15282 30.7056
67 5.32 1.18732 32.4882
68 5.4 1.21085 34.3614
69 5.48 1.20848 36.2866
70 5.56 1.1929 38.2429
71 5.64 1.16316 40.2057
72 5.72 1.13427 42.1745
73 5.8 1.09605 44.1305
74 5.88 1.06612 46.0859
75 5.96 1.03402 48.0344
76 6.04 1.00437 49.9782
77 6.12 0.993542 51.9524
78 6.2 0.980165 53.9511
79 6.28 0.977205 55.9956
80 6.36 0.970373 58.0779
81 6.44 0.964082 60.199
82 6.52 0.92463 62.2842
83 6.6 0.909347 64.3856
84 6.68 0.914357 66.55
85 6.76 0.91049 68.7573
86 6.84 0.907813 71.0104
87 6.92 0.903565 73.3058
88 7 0.900093 75.6455
89 7.08 0.899109 78.0364
90 7.16 0.910207 80.5118
91 7.24 0.925992 83.0867
92 7.32 0.932567 85.7376
93 7.4 0.957288 88.5185
94 7.48 0.972484 91.4049
95 7.56 0.993679 94.4177
96 7.64 1.01082 97.5477
97 7.72 1.03388 100.816
98 7.8 1.06508 104.254
99 7.88 1.08728 107.836
100 7.96 1.10137 111.538
