# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
110000 100
29 2.28 0.000268581 7.40741e-05
30 2.36 0.00846054 0.00257407
31 2.44 0.0814355 0.0282963
32 2.52 0.618365 0.23663
33 2.6 2.01792 0.960333
34 2.68 2.79649 2.02593
35 2.76 3.29791 3.35872
36 2.84 3.09155 4.68159
37 2.92 2.53846 5.82985
38 3 1.95724 6.76437
39 3.08 1.56049 7.54972
40 3.16 1.27984 8.22772
41 3.24 1.06769 8.82233
42 3.32 0.903609 9.35072
43 3.4 0.783652 9.83131
44 3.48 0.736825 10.3047
45 3.56 0.724106 10.7916
46 3.64 0.709411 11.2902
47 3.72 0.685912 11.7938
48 3.8 0.657023 12.2971
49 3.88 0.682427 12.8421
50 3.96 0.715993 13.4377
51 4.04 0.735932 14.075
52 4.12 0.752811 14.7529
53 4.2 0.766042 15.4697
54 4.28 0.796747 16.244
55 4.36 0.814475 17.0654
56 4.44 0.842283 17.9463
57 4.52 0.865665 18.8845
58 4.6 0.899677 19.8944
59 4.68 0.92471 20.9689
60 4.76 0.95607 22.1181
61 4.84 0.976643 23.3318
62 4.92 1.00306 24.6198
63 5 1.03478 25.9922
64 5.08 1.06978 27.4568
65 5.16 1.1082 29.0221
66 5.24 1.15267 30.7011
67 5.32 1.18728 32.4837
68 5.4 1.2049 34.3476
69 5.48 1.21368 36.2811
70 5.56 1.19884 38.2472
71 5.64 1.16411 40.2116
72 5.72 1.13313 42.1784
73 5.8 1.09836 44.1385
74 5.88 1.05981 46.0824
75 5.96 1.03273 48.0285
76 6.04 1.0127 49.9884
77 6.12 0.99234 51.9601
78 6.2 0.980146 53.9589
79 6.28 0.972957 55.9945
80 6.36 0.970321 58.0766
81 6.44 0.958669 60.1858
82 6.52 0.930017 62.2832
83 6.6 0.910557 64.3873
84 6.68 0.911807 66.5457
85 6.76 0.91052 68.7531
86 6.84 0.905746 71.0011
87 6.92 0.90229 73.2932
88 7 0.903534 75.6419
89 7.08 0.90188 78.0401
90 7.16 0.915327 80.5295
91 7.24 0.92147 83.0918
92 7.32 0.938443 85.7594
93 7.4 0.951226 88.5226
94 7.48 0.971161 91.4052
95 7.56 0.993007 94.4159
96 7.64 1.01454 97.5574
97 7.72 1.03897 100.842
98 7.8 1.06072 104.266
99 7.88 1.07687 107.813
100 7.96 1.10177 111.516
125000 100
1 0.04 0 0
2 0.12 0 0
3 0.2 0 0
4 0.28 0 0
5 0.36 0 0
6 0.44 0 0
7 0.52 0 0
8 0.6 0 0
9 0.68 0 0
10 0.76 0 0
11 0.84 0 0
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0 0
28 2.2 0 0
29 2.28 0.000604308 0.000166667
30 2.36 0.00827253 0.00261111
31 2.44 0.0829599 0.0288148
32 2.52 0.624027 0.239056
33 2.6 2.01864 0.963019
34 2.68 2.79537 2.02819
35 2.76 3.28022 3.35383
36 2.84 3.09644 4.6788
37 2.92 2.54072 5.82807
38 3 1.96565 6.76661
39 3.08 1.55755 7.55048
40 3.16 1.28023 8.22869
41 3.24 1.07301 8.82626
42 3.32 0.901994 9.3537
43 3.4 0.776918 9.83017
44 3.48 0.741379 10.3065
45 3.56 0.722096 10.792
