# Step Temp Press PE KE TotEng Vol Density
110044 293.1737173071186362 99.068135602422700003 -301002.94515895843506 4092.6952429279645003 -296910.24991603044327 2045255.3085077048745 6.1136609735998854731
110045 293.17566158240867935 118.72339801437408369 -301002.9380216471618 4092.7223849456854623 -296910.21563670149771 2045255.3085077048745 6.1136609735998854731
110046 293.17986379949240927 163.02836520092336059 -301003.02108453045366 4092.7810477549792267 -296910.24003677547444 2045255.3085077048745 6.1136609735998854731
110047 293.18488303098388315 80.668403732246844129 -301003.08661514718551 4092.851116057953277 -296910.23549908923451 2045255.3085077048745 6.1136609735998854731
110048 293.19690817403073879 172.64203504205389095 -301003.1729824115173 4093.0189866508408159 -296910.15399576065829 2045255.3085077048745 6.1136609735998854731
110049 293.21082184977927909 158.94607212811399677 -301003.2284810844576 4093.2132210967893116 -296910.01525998767465 2045255.3085077048745 6.1136609735998854731
110050 293.21641283513343978 108.50494418384461426 -301003.32963021786418 4093.2912710644754952 -296910.0383591533755 2045255.3085077048745 6.1136609735998854731
110051 293.22163775774941996 170.58014647750516701 -301003.44379764853511 4093.3642108086360167 -296910.07958683988545 2045255.3085077048745 6.1136609735998854731
110052 293.23481046515973958 158.69907472588786845 -301003.58576413907576 4093.5481013614794392 -296910.03766277758405 2045255.3085077048745 6.1136609735998854731
110053 293.25394619272964292 247.74138058968412679 -301003.78588968713302 4093.8152354753920008 -296909.97065421176376 2045255.3085077048745 6.1136609735998854731
110054 293.27161897136221569 76.846943002841356929 -301004.01322712656111 4094.0619468712948219 -296909.95128025527811 2045255.3085077048745 6.1136609735998854731
110055 293.28598443247631167 119.94556672414729803 -301004.23528975684894 4094.262488225765992 -296909.97280153108295 2045255.3085077048745 6.1136609735998854731
110056 293.29796299087490752 180.3696602451018407 -301004.41133153595729 4094.4297084985291804 -296909.9816230374272 2045255.3085077048745 6.1136609735998854731
110057 293.3102184582722316 170.5829640663010025 -301004.61924180464121 4094.6007944116104227 -296910.0184473930276 2045255.3085077048745 6.1136609735998854731
110058 293.32780426284801933 129.46314794700441553 -301004.80452621006407 4094.8462916526027584 -296909.9582345574745 2045255.3085077048745 6.1136609735998854731
110059 293.34495609636326208 191.20354762444813446 -301004.98734756332124 4095.085730672171394 -296909.90161689114757 2045255.3085077048745 6.1136609735998854731
110060 293.36250474283474432 168.55803320661004818 -301005.22433474590071 4095.3307091872761703 -296909.893625558645 2045255.3085077048745 6.1136609735998854731
110061 293.38392680655135791 98.478224432939384769 -301005.45473819610197 4095.6297604769756617 -296909.82497771910857 2045255.3085077048745 6.1136609735998854731
110062 293.40644434344824276 45.419782234877210669 -301005.74214378162287 4095.9441045354637936 -296909.7980392461759 2045255.3085077048745 6.1136609735998854731
110063 293.42897150107529569 75.132084275782588634 -301005.98985272028949 4096.2585828990213486 -296909.73126982129179 2045255.3085077048745 6.1136609735998854731
110064 293.45243684376771398 181.76310481263965357 -301006.28742195281666 4096.5861582945690316 -296909.70126365823671 2045255.3085077048745 6.1136609735998854731
110065 293.46946545140838225 132.50808764113563143 -301006.52229054091731 4096.8238770850684887 -296909.69841345585883 2045255.3085077048745 6.1136609735998854731
110066 293.47678358208332838 112.36951737320248412 -301006.77232741558691 4096.9260379434008428 -296909.8462894721888 2045255.3085077048745 6.1136609735998854731
110067 293.49104017776301134 127.91949429063862453 -301006.93774839787511 4097.1250595400651946 -296909.81268885778263 2045255.3085077048745 6.1136609735998854731
110068 293.51000965999980963 158.71071861175315121 -301007.13545694382628 4097.3898728747135465 -296909.74558406911092 2045255.3085077048745 6.1136609735998854731
110069 293.52698002297864832 122.88087543576403959 -301007.35959221684607 4097.6267785716918297 -296909.73281364515424 2045255.3085077048745 6.1136609735998854731
110070 293.53887793257842986 72.008933425606684864 -301007.54610665864311 4097.7928729899331302 -296909.75323366868543 2045255.3085077048745 6.1136609735998854731
110071 293.54774434198020572 200.9286459261091693 -301007.72232436045306 4097.9166477672697511 -296909.80567659321241 2045255.3085077048745 6.1136609735998854731
110072 293.5593552048603101 31.91286881861910274 -301007.84737156442134 4098.0787350229493313 -296909.76863654149929 2045255.3085077048745 6.1136609735998854731
110073 293.57267899944287137 168.39439623671424329 -301008.02500462951139 4098.264734747640432 -296909.76026988186641 2045255.3085077048745 6.1136609735998854731
110074 293.5892459361315332 19.897118942576682343 -301008.18637716129888 4098.4960086271621549 -296909.69036853412399 2045255.3085077048745 6.1136609735998854731
110075 293.60189877351501764 62.119964467988346257 -301008.33841676573502 4098.6726418118987567 -296909.66577495384263 2045255.3085077048745 6.1136609735998854731
110076 293.61136199464425545 40.812047682152794437 -301008.48998768796446 4098.8047480608975093 -296909.68523962708423 2045255.3085077048745 6.1136609735998854731
110077 293.61872250449761168 160.34245621491004385 -301008.5685868075816 4098.9075005311360655 -296909.66108627646463 2045255.3085077048745 6.1136609735998854731
110078 293.61987524127920324 181.5299389197479627 -301008.63583754037973 4098.9235926978744828 -296909.71224484249251 2045255.3085077048745 6.1136609735998854731
110079 293.61979100135692988 131.19272895306994542 -301008.68309519730974 4098.9224167113907242 -296909.76067848590901 2045255.3085077048745 6.1136609735998854731
110080 293.62138732141482933 96.185416910469612617 -301008.71617139154114 4098.9447012857617665 -296909.77147010579938 2045255.3085077048745 6.1136609735998854731
110081 293.62026402616538689 113.10072453695508443 -301008.73739642894361 4098.9290201218227594 -296909.80837630713359 2045255.3085077048745 6.1136609735998854731
110082 293.61569039090352362 63.438702524337273303 -301008.78600972949062 4098.8651723272414529 -296909.92083740222733 2045255.3085077048745 6.1136609735998854731
110083 293.61860546371946157 115.68202756442551049 -301008.82899865548825 4098.9058666458058724 -296909.92313200968783 2045255.3085077048745 6.1136609735998854731
110084 293.62235718179164223 131.58924765827265446 -301008.81665199977579 4098.9582405040346202 -296909.85841149574844 2045255.3085077048745 6.1136609735998854731
110085 293.61890001993702981 82.483416235472489575 -301008.77677943103481 4098.9099786407059582 -296909.86680079030339 2045255.3085077048745 6.1136609735998854731
110086 293.6132555817992511 103.60420359309610205 -301008.79701642086729 4098.8311824739557778 -296909.96583394688787 2045255.3085077048745 6.1136609735998854731
110087 293.60790730049558306 126.80442448148608037 -301008.74876216705889 4098.7565206466597374 -296909.99224152037641 2045255.3085077048745 6.1136609735998854731
110088 293.60214306758399516 82.644244142551201548 -301008.74019646889064 4098.6760521488931772 -296910.06414431997109 2045255.3085077048745 6.1136609735998854731
110089 293.60191090252095591 97.618104793334481428 -301008.79229444102384 4098.6728111324136989 -296910.11948330863379 2045255.3085077048745 6.1136609735998854731
110090 293.60143302231858797 159.36159523576861829 -301008.80221324932063 4098.6661399408458237 -296910.13607330847299 2045255.3085077048745 6.1136609735998854731
110091 293.5912156345011681 120.94011003060172982 -301008.75193408521591 4098.5235055502207615 -296910.22842853498878 2045255.3085077048745 6.1136609735998854731
110092 293.57890684718955754 229.80138954415525632 -301008.67770289233886 4098.3516752929272116 -296910.32602759939618 2045255.3085077048745 6.1136609735998854731
110093 293.57169158974880929 74.830598682038868219 -301008.62212096049916 4098.2509505414882369 -296910.37117041903548 2045255.3085077048745 6.1136609735998854731
110094 293.5615217267147159 53.081069834478661562 -301008.55321415438084 4098.1089795952411805 -296910.44423455913784 2045255.3085077048745 6.1136609735998854731
110095 293.54085698985903718 89.752176140045008879 -301008.52613094716799 4097.8205005630743472 -296910.70563038409455 2045255.3085077048745 6.1136609735998854731
110096 293.52527481233437356 67.116719430829789417 -301008.50536985090002 4097.6029738883935352 -296910.90239596250467 2045255.3085077048745 6.1136609735998854731
110097 293.5134959669063619 132.72442700763826906 -301008.46064505894901 4097.4385416019886179 -296911.02210345695494 2045255.3085077048745 6.1136609735998854731
110098 293.50155271934073653 136.0072961850125921 -301008.45384883723455 4097.271814267267473 -296911.18203456996707 2045255.3085077048745 6.1136609735998854731
110099 293.49619689508199372 70.512526553710500821 -301008.37293153093196 4097.1970471405720673 -296911.17588439036626 2045255.3085077048745 6.1136609735998854731
110100 293.4896830040486293 152.02427020894194243 -301008.33028327237116 4097.1061134406136262 -296911.22416983178118 2045255.3085077048745 6.1136609735998854731
110101 293.47863309709316582 140.12183436324019681 -301008.24969464249443 4096.9518571107946627 -296911.29783753171796 2045255.3085077048745 6.1136609735998854731
