# Experimental G(r) data for Ga0.858In0.142
# Column 1: r (Å)
# Column 2: G(r)
# Data extracted from Amon et al., J. Phys. Chem. C 2023, 127, 16687-16694
# NOTE: Please verify temperature (150°C or 200°C)
1.6725894507 -1.1785040865
1.7165715213 -1.1476433357
1.7715416470 -1.1801846225
1.9448767637 -0.8886880255
1.9818024353 -1.1354594502
2.0049626228 -0.8614175105
2.0239902029 -0.9001175796
2.0441912134 -0.9315778757
2.0452047567 -1.1655886390
2.0524130647 -0.9713016444
2.0981162837 -1.0127421328
2.1179703638 -0.9775331421
2.1364944480 -1.0908106658
2.1431874418 -1.0476590863
2.1500395494 -1.1231852879
2.1692082757 -0.8417666983
2.1696154639 -1.0120291782
2.1793390750 -0.8758548420
2.1944711368 -1.0715608906
2.2905056917 -0.8290137222
2.3036909915 -1.1102743275
2.3139148444 -1.0827899261
2.3486707084 -0.8546800892
2.4474481429 -0.8181055162
2.4871752917 -0.8428552272
2.6813020646 -0.8314734157
2.6855255046 -0.8020640368
2.7485622929 -0.8277304038
3.0108389601 -0.8185638442
3.0273231357 -0.7908350012
3.0833493423 -0.8148972203
3.2936916237 -0.8229179600
3.4971281453 -0.8014223776
3.5004641909 -0.7747935218
3.5887697859 -0.7982140817
3.8311660803 -0.8036681847
3.8461440571 -0.1838254210
3.8585247136 -0.1482133368
3.8709039134 -0.2264422846
3.9004529783 -0.1112109910
3.9132837687 -0.1569049020
3.9295923222 -0.1939850246
3.9344806314 -0.0769891683
3.9480066979 -0.2640574972
3.9772103876 -0.2323241604
3.9864921478 -0.0416979136
4.0414126195 -0.0070177629
4.0499981478 -0.2749163448
4.0629102901 -0.7847885974
4.0894143259 0.0302056587
4.1117241238 -0.3072225915
4.1375738068 0.0637480776
4.1643811887 -0.7838836935
4.1830420921 0.1016059690
4.2265752032 -0.3388217597
4.2504426654 0.1347583597
4.3231224838 1.0266646139
4.3236199343 1.0985839132
4.3238032171 1.0626962445
4.3350295097 1.1317980019
4.3391215019 0.9913733592
4.3407721705 0.1700496144
4.3430441700 1.1678296325
4.3446516357 0.9556237766
4.3454092053 1.2384121419
4.3476894346 1.2031208872
4.3529536418 -0.3676607749
4.3594522621 -0.3496943179
4.3662432763 0.9212491779
4.3774109942 1.2737033965
4.3975396941 2.1559847631
4.4001998595 2.0501109991
4.4010343254 2.0854022538
4.4012589420 2.1206935084
4.4028872235 0.8837720513
4.4030249641 2.1912760177
4.4047176947 -0.7876267053
4.4123321541 0.8155004124
4.4132059789 2.0148197444
4.4143196217 2.2265672724
4.4200980029 1.9795284898
4.4222060958 1.3073905032
4.4254044946 2.2618585271
4.4279932654 0.2053408690
4.4289150173 0.8502083406
4.4355058097 1.9442372351
4.4392920149 2.9994457495
4.4418527461 2.2971497817
4.4500699843 2.3324410364
4.4508585727 1.9076091905
4.4516585173 2.9676836203
4.4529010929 2.9323923656
4.4693628982 2.3677322911
4.4699776412 2.8971011110
4.4723258714 -0.3869105501
4.4764714009 0.8025422304
4.4779584029 1.8736547258
4.4804953853 2.8618098563
4.4861923242 1.3442859058
4.4865062270 2.8265186017
4.4890645453 2.4030235457
4.4919041856 2.7912273470
4.4969295788 1.3795771605
4.4975545342 1.8383634711
4.5001524690 0.7700009436
4.5006313917 2.7559360923
4.5025190312 2.4383148004
4.5033606610 0.2406321237
4.5045138141 2.4736060550
4.5090322181 2.7206448377
4.5150732183 1.8036069324
4.5158544583 2.6853535830
4.5186076230 2.5088973097
4.5230640031 2.5794798190
4.5255204941 2.6500623283
4.5261799035 2.5441885644
4.5263079583 2.6147710737
4.5290999756 1.4148684152
4.5372561084 1.7675341698
4.5404570650 0.7360464789
4.5578843443 1.4501596698
4.5645197932 0.3112146330
4.5651208524 1.7335591391
4.5669779864 1.4871784684
4.5748625490 0.2787542276
4.5821753844 1.6971984525
4.5842588002 0.6994184343
4.5892828808 1.5207421792
4.5921972739 1.6619071978
4.5928819179 1.5913246885
4.5933568723 1.5560334338
4.6007642176 1.6280966951
4.6120659470 0.6621008875
4.6128169395 -0.4046936759
4.6348165534 0.3121771218
4.6632299472 0.6314025617
4.6970131314 -0.7695227500
4.7051752065 0.3472697676
4.7074731849 0.5935446703
4.7361934757 0.5577186997
4.7382216686 0.3817971423
4.7687161585 -0.4275684088
4.7731858673 0.5229621610
4.7793963157 0.4143384291
4.7885420948 0.4876709063
4.7904391637 0.4523796517
4.8918855979 -0.4417724096
4.9416506974 -0.7742588058
5.0319056430 -0.4513972973
5.1014062598 -0.7699810780
5.1714363790 -0.4651929696
5.3052332304 -0.7560020745
5.3259572692 -0.4788282270
5.4756717613 -0.4908593366
5.5658653033 -0.7582173265
5.6636773332 -0.5017675426
5.8201728428 -0.7431688910
5.8798260098 -0.5135847657
6.0593227166 -0.7427105630
6.0777866465 -0.5240117273
6.1726335682 -0.5325671830
6.2338683422 -0.7295071915
6.3465559750 -0.5389837748
6.3866166002 -0.7314815275
6.5294216507 -0.7200233279
6.5378310066 -0.5502128103
6.7093058353 -0.5614418459
6.7563148145 -0.7066172344
6.8823448046 -0.5737403134
6.9357319017 -0.6961902728
7.0249437730 -0.5858248946
7.0464558497 -0.6936236361
7.1426001802 -0.5958164446
7.1915029582 -0.6833570893
7.2524802702 -0.6019830393
7.3728095251 -0.6677739379
7.3774267835 -0.6169453646
7.5267339223 -0.6544824264
7.5411710922 -0.6246205955
